BENC	FRAF	FRAM	FRAT	GABF	GABM	GABN	GERC	IRAA	ITAC	LEBE	MALB	MORC	MORT	NIGN	SEND	SENK	SENS	SPAC	TUNB	USAF	OUTGROUP
3,29	23,9	12,4	32,0	23,1	5,27	8,4	15,7	6,10	29,1	3,17	37,5	6,6	7,29	11,19	35,3	35,7	28,10	8,8	15,15	2,6	0,16
1,31	4,28	0,16	0,32	0,24	0,32	0,12	6,16	2,14	1,29	17,3	0,42	2,10	12,24	0,30	27,11	3,39	8,30	0,16	0,30	2,6	16,0
13,19	22,10	10,6	18,14	24,0	6,26	4,8	9,13	14,2	29,1	10,10	11,31	2,10	12,24	0,30	4,34	39,3	25,13	8,8	5,25	0,8	16,0
3,29	0,32	0,16	0,32	1,23	12,20	1,11	0,22	0,16	0,30	0,20	1,41	9,3	15,21	14,16	0,38	0,42	0,38	0,16	0,30	0,8	0,16
3,29	12,20	6,10	0,32	5,19	4,28	1,11	5,17	12,4	1,29	20,0	3,39	0,12	12,24	12,18	8,30	4,38	12,26	9,7	2,28	5,3	16,0
0,32	0,32	2,14	0,32	0,24	0,32	0,12	0,22	0,16	0,30	1,19	0,42	0,12	0,36	0,30	24,14	1,41	4,34	0,16	0,30	0,8	0,16
10,22	2,30	2,14	0,32	0,24	1,31	0,12	6,16	2,14	0,30	1,19	1,41	2,10	16,20	0,30	1,37	2,40	1,37	0,16	3,27	0,8	0,16
2,30	0,32	0,16	1,31	0,24	0,32	2,10	0,22	2,14	1,29	1,19	2,40	5,7	10,26	1,29	3,35	3,39	3,35	0,16	0,30	0,8	11,5
12,20	24,8	9,7	20,12	23,1	7,25	1,11	0,22	1,15	23,7	0,20	9,33	4,8	14,22	0,30	29,9	33,9	13,25	9,7	12,18	2,6	0,16
8,24	8,24	6,10	25,7	0,24	0,32	0,12	1,21	0,16	15,15	0,20	8,34	0,12	0,36	0,30	3,35	11,31	0,38	13,3	3,27	1,7	0,16
32,0	26,6	16,0	29,3	24,0	32,0	11,1	12,10	11,5	25,5	7,13	18,24	12,0	36,0	30,0	28,10	42,0	37,1	16,0	30,0	5,3	16,0
0,32	3,29	0,16	0,32	0,24	0,32	0,12	0,22	0,16	0,30	0,20	16,26	0,12	0,36	0,30	18,20	1,41	11,27	0,16	0,30	0,8	0,16
8,24	1,31	2,14	9,23	6,18	4,28	6,6	4,18	3,13	0,30	0,20	4,38	8,4	28,8	0,30	0,38	5,37	5,33	0,16	5,25	3,5	0,16
2,30	0,32	3,13	0,32	1,23	2,30	3,9	3,19	1,15	5,25	1,19	3,39	1,11	3,33	0,30	1,37	1,41	5,33	0,16	5,25	0,8	4,12
11,21	6,26	2,14	3,29	6,18	5,27	1,11	2,20	4,12	5,25	3,17	0,42	0,12	6,30	4,26	8,30	7,35	9,29	3,13	9,21	0,8	15,1
0,32	0,32	2,14	0,32	0,24	0,32	0,12	0,22	9,7	3,27	6,14	3,39	0,12	0,36	0,30	4,34	6,36	1,37	0,16	4,26	0,8	0,16
5,27	1,31	1,15	0,32	1,23	6,26	3,9	0,22	2,14	0,30	0,20	13,29	0,12	0,36	12,18	21,17	3,39	10,28	2,14	0,30	0,8	0,16
8,24	28,4	15,1	25,7	22,2	25,7	4,8	2,20	12,4	30,0	1,19	33,9	3,9	7,29	30,0	10,28	10,32	29,9	16,0	18,12	7,1	16,0
2,30	2,30	3,13	0,32	1,23	5,27	6,6	2,20	10,6	0,30	1,19	0,42	0,12	0,36	0,30	0,38	0,42	1,37	0,16	0,30	1,7	0,16
5,27	6,26	6,10	3,29	11,13	0,32	1,11	13,9	3,13	0,30	0,20	4,38	0,12	0,36	28,2	0,38	0,42	0,38	16,0	0,30	2,6	16,0
7,25	22,10	10,6	29,3	6,18	0,32	0,12	9,13	1,15	30,0	0,20	34,8	0,12	6,30	0,30	13,25	5,37	23,15	6,10	15,15	4,4	16,0
1,31	6,26	3,13	4,28	16,8	0,32	0,12	4,18	0,16	0,30	0,20	18,24	6,6	0,36	30,0	8,30	15,27	7,31	0,16	1,29	1,7	0,16
0,32	6,26	3,13	0,32	2,22	0,32	0,12	0,22	3,13	5,25	9,11	0,42	0,12	3,33	0,30	0,38	0,42	0,38	0,16	4,26	0,8	0,16
7,25	10,22	7,9	3,29	24,0	23,9	9,3	6,16	5,11	5,25	17,3	9,33	10,2	18,18	1,29	26,12	25,17	12,26	0,16	9,21	3,5	6,10
5,27	21,11	14,2	29,3	4,20	1,31	0,12	6,16	6,10	25,5	7,13	30,12	1,11	2,34	0,30	6,32	9,33	25,13	0,16	18,12	0,8	0,16
14,18	20,12	9,7	32,0	24,0	32,0	10,2	13,9	10,6	26,4	13,7	28,14	8,4	12,24	1,29	35,3	39,3	37,1	1,15	26,4	8,0	16,0
10,22	8,24	8,8	3,29	10,14	21,11	2,10	2,20	9,7	0,30	16,4	5,37	0,12	0,36	1,29	1,37	18,24	2,36	0,16	8,22	1,7	16,0
14,18	32,0	16,0	31,1	20,4	32,0	12,0	20,2	9,7	30,0	17,3	31,11	8,4	9,27	30,0	11,27	37,5	30,8	0,16	29,1	7,1	16,0
6,26	1,31	0,16	0,32	3,21	5,27	3,9	1,21	0,16	0,30	1,19	1,41	5,7	6,30	29,1	21,17	14,28	7,31	0,16	18,12	0,8	3,13
18,14	22,10	9,7	26,6	19,5	32,0	6,6	16,6	14,2	29,1	19,1	31,11	10,2	27,9	30,0	30,8	37,5	34,4	0,16	29,1	8,0	2,14
17,15	21,11	14,2	29,3	18,6	32,0	5,7	20,2	9,7	29,1	13,7	18,24	11,1	33,3	30,0	37,1	37,5	33,5	0,16	29,1	8,0	16,0
9,23	5,27	0,16	0,32	0,24	0,32	6,6	1,21	11,5	0,30	4,16	1,41	0,12	0,36	0,30	0,38	0,42	1,37	0,16	4,26	0,8	14,2
0,32	1,31	3,13	0,32	3,21	25,7	7,5	2,20	7,9	1,29	18,2	0,42	6,6	16,20	0,30	2,36	0,42	0,38	0,16	0,30	0,8	0,16
18,14	25,7	14,2	28,4	13,11	32,0	8,4	6,16	2,14	20,10	3,17	17,25	10,2	36,0	1,29	4,34	31,11	22,16	0,16	28,2	4,4	0,16
17,15	29,3	13,3	9,23	22,2	11,21	3,9	5,17	3,13	29,1	13,7	32,10	2,10	10,26	1,29	14,24	16,26	12,26	15,1	20,10	7,1	0,16
0,32	0,32	0,16	15,17	0,24	0,32	0,12	0,22	4,12	0,30	15,5	1,41	1,11	1,35	0,30	0,38	7,35	12,26	0,16	0,30	1,7	0,16
4,28	8,24	4,12	0,32	8,16	7,25	2,10	0,22	2,14	1,29	3,17	3,39	1,11	7,29	1,29	0,38	4,38	0,38	7,9	12,18	0,8	0,16
17,15	8,24	3,13	0,32	0,24	2,30	2,10	4,18	10,6	1,29	11,9	5,37	4,8	3,33	0,30	1,37	18,24	5,33	0,16	2,28	4,4	16,0
0,32	1,31	1,15	0,32	0,24	0,32	0,12	0,22	2,14	0,30	0,20	8,34	2,10	18,18	0,30	1,37	4,38	0,38	0,16	23,7	0,8	0,16
3,29	1,31	1,15	3,29	5,19	2,30	1,11	0,22	0,16	1,29	4,16	0,42	1,11	14,22	0,30	1,37	1,41	0,38	1,15	5,25	0,8	8,8
2,30	22,10	2,14	5,27	0,24	0,32	0,12	8,14	14,2	9,21	20,0	20,22	0,12	3,33	0,30	8,30	26,16	3,35	6,10	22,8	3,5	0,16
11,21	16,16	9,7	23,9	5,19	0,32	7,5	12,10	1,15	0,30	6,14	9,33	2,10	24,12	11,19	7,31	12,30	1,37	0,16	15,15	0,8	0,16
32,0	18,14	16,0	4,28	19,5	25,7	4,8	1,21	14,2	30,0	19,1	1,41	9,3	35,1	30,0	4,34	11,31	14,24	1,15	27,3	3,5	16,0
22,10	11,21	9,7	31,1	13,11	0,32	8,4	17,5	0,16	28,2	0,20	27,15	1,11	1,35	0,30	38,0	14,28	24,14	14,2	8,22	4,4	0,16
2,30	1,31	2,14	0,32	0,24	0,32	0,12	1,21	0,16	0,30	3,17	1,41	2,10	14,22	0,30	0,38	0,42	0,38	3,13	1,29	0,8	16,0
3,29	11,21	1,15	0,32	11,13	29,3	3,9	3,19	15,1	1,29	18,2	15,27	10,2	36,0	30,0	1,37	10,32	4,34	9,7	11,19	1,7	16,0
0,32	10,22	2,14	0,32	0,24	0,32	0,12	0,22	9,7	1,29	4,16	1,41	1,11	1,35	0,30	0,38	0,42	0,38	0,16	7,23	2,6	0,16
5,27	8,24	1,15	5,27	0,24	1,31	0,12	0,22	5,11	0,30	4,16	0,42	2,10	1,35	0,30	2,36	0,42	0,38	0,16	1,29	1,7	16,0
0,32	1,31	1,15	0,32	0,24	0,32	0,12	0,22	4,12	0,30	1,19	1,41	0,12	0,36	0,30	0,38	0,42	0,38	4,12	0,30	1,7	16,0
0,32	2,30	1,15	10,22	6,18	1,31	4,8	6,16	2,14	2,28	1,19	17,25	0,12	1,35	0,30	8,30	19,23	7,31	7,9	4,26	1,7	16,0
1,31	7,25	0,16	0,32	0,24	0,32	4,8	2,20	1,15	0,30	0,20	1,41	0,12	0,36	0,30	6,32	1,41	13,25	0,16	0,30	0,8	16,0
14,18	0,32	0,16	0,32	0,24	0,32	3,9	1,21	4,12	6,24	2,18	1,41	8,4	33,3	1,29	2,36	5,37	12,26	2,14	11,19	1,7	16,0
7,25	1,31	0,16	0,32	1,23	0,32	0,12	0,22	1,15	0,30	1,19	1,41	8,4	36,0	1,29	1,37	0,42	7,31	0,16	0,30	0,8	0,16
10,22	6,26	3,13	9,23	2,22	26,6	9,3	5,17	13,3	0,30	1,19	4,38	11,1	36,0	30,0	3,35	3,39	1,37	0,16	13,17	0,8	0,16
13,19	16,16	14,2	24,8	19,5	5,27	3,9	4,18	4,12	25,5	7,13	33,9	4,8	0,36	0,30	37,1	24,18	24,14	0,16	27,3	5,3	16,0
0,32	14,18	2,14	16,16	2,22	27,5	4,8	0,22	2,14	0,30	0,20	1,41	12,0	32,4	30,0	0,38	0,42	5,33	0,16	9,21	0,8	0,16
5,27	6,26	0,16	0,32	19,5	22,10	1,11	0,22	0,16	0,30	2,18	2,40	5,7	26,10	26,4	0,38	4,38	3,35	2,14	6,24	0,8	0,16
4,28	2,30	3,13	0,32	1,23	2,30	1,11	0,22	1,15	0,30	0,20	19,23	0,12	9,27	0,30	7,31	7,35	1,37	0,16	0,30	0,8	0,16
12,20	12,20	1,15	18,14	1,23	0,32	3,9	2,20	8,8	1,29	3,17	4,38	0,12	6,30	0,30	0,38	11,31	3,35	0,16	14,16	1,7	0,16
1,31	2,30	0,16	0,32	1,23	6,26	1,11	1,21	1,15	7,23	1,19	3,39	0,12	1,35	3,27	0,38	3,39	1,37	4,12	5,25	0,8	0,16
14,18	14,18	10,6	0,32	3,21	7,25	4,8	8,14	0,16	29,1	8,12	9,33	1,11	10,26	0,30	1,37	19,23	5,33	7,9	8,22	3,5	0,16
21,11	32,0	16,0	7,25	4,20	27,5	10,2	4,18	16,0	30,0	20,0	17,25	12,0	35,1	30,0	3,35	25,17	1,37	16,0	30,0	1,7	16,0
0,32	14,18	5,11	0,32	0,24	0,32	0,12	2,20	1,15	7,23	0,20	3,39	0,12	23,13	0,30	0,38	6,36	0,38	0,16	2,28	1,7	0,16
3,29	1,31	6,10	3,29	20,4	1,31	3,9	1,21	6,10	0,30	6,14	1,41	2,10	18,18	0,30	15,23	5,37	6,32	0,16	7,23	3,5	0,16
3,29	1,31	1,15	1,31	1,23	0,32	1,11	1,21	1,15	1,29	0,20	0,42	0,12	8,28	3,27	1,37	2,40	1,37	1,15	2,28	0,8	1,15
16,16	15,17	1,15	2,30	10,14	2,30	7,5	9,13	4,12	0,30	2,18	23,19	8,4	15,21	0,30	6,32	4,38	22,16	2,14	0,30	4,4	16,0
7,25	22,10	13,3	11,21	10,14	4,28	0,12	5,17	3,13	3,27	1,19	4,38	0,12	0,36	5,25	0,38	6,36	0,38	0,16	1,29	0,8	0,16
1,31	12,20	0,16	2,30	12,12	27,5	10,2	14,8	5,11	21,9	6,14	2,40	6,6	0,36	11,19	0,38	5,37	3,35	16,0	8,22	0,8	16,0
32,0	22,10	14,2	32,0	23,1	32,0	12,0	19,3	15,1	26,4	15,5	42,0	12,0	33,3	30,0	37,1	37,5	36,2	15,1	10,20	8,0	3,13
0,32	0,32	0,16	0,32	3,21	0,32	0,12	0,22	0,16	0,30	2,18	1,41	0,12	0,36	0,30	0,38	8,34	0,38	0,16	5,25	0,8	16,0
23,9	31,1	11,5	26,6	11,13	29,3	10,2	18,4	12,4	30,0	11,9	29,13	12,0	36,0	30,0	22,16	24,18	19,19	16,0	23,7	7,1	16,0
0,32	1,31	5,11	6,26	1,23	8,24	3,9	2,20	1,15	0,30	1,19	4,38	1,11	7,29	0,30	2,36	8,34	5,33	0,16	3,27	1,7	0,16
7,25	12,20	1,15	0,32	9,15	3,29	1,11	0,22	1,15	0,30	15,5	0,42	0,12	0,36	0,30	0,38	1,41	0,38	0,16	9,21	0,8	0,16
1,31	2,30	0,16	0,32	3,21	3,29	2,10	2,20	1,15	0,30	2,18	2,40	0,12	4,32	3,27	0,38	7,35	5,33	3,13	1,29	3,5	0,16
3,29	0,32	2,14	3,29	0,24	0,32	0,12	5,17	1,15	0,30	5,15	9,33	6,6	2,34	4,26	9,29	18,24	28,10	0,16	0,30	3,5	16,0
0,32	17,15	5,11	4,28	3,21	2,30	0,12	4,18	3,13	3,27	10,10	24,18	1,11	0,36	0,30	17,21	16,26	27,11	0,16	10,20	1,7	0,16
6,26	9,23	6,10	11,21	7,17	25,7	5,7	7,15	5,11	9,21	8,12	15,27	8,4	28,8	30,0	13,25	12,30	17,21	6,10	15,15	3,5	2,14
13,19	0,32	1,15	0,32	6,18	0,32	3,9	0,22	0,16	0,30	2,18	0,42	0,12	0,36	0,30	0,38	5,37	13,25	0,16	1,29	1,7	0,16
19,13	21,11	4,12	29,3	12,12	0,32	0,12	13,9	1,15	6,24	4,16	4,38	0,12	0,36	0,30	11,27	8,34	9,29	0,16	0,30	1,7	0,16
13,19	22,10	16,0	25,7	14,10	29,3	2,10	18,4	3,13	26,4	12,8	33,9	11,1	32,4	27,3	35,3	40,2	28,10	15,1	26,4	4,4	0,16
2,30	16,16	2,14	0,32	18,6	29,3	3,9	1,21	5,11	3,27	1,19	4,38	3,9	0,36	5,25	0,38	1,41	0,38	0,16	0,30	0,8	16,0
23,9	25,7	15,1	32,0	19,5	32,0	2,10	16,6	12,4	27,3	17,3	35,7	4,8	29,7	30,0	35,3	36,6	33,5	16,0	17,13	0,8	16,0
12,20	4,28	9,7	17,15	12,12	32,0	2,10	11,11	5,11	27,3	4,16	9,33	3,9	0,36	4,26	9,29	10,32	3,35	0,16	9,21	0,8	0,16
1,31	0,32	0,16	1,31	1,23	0,32	0,12	0,22	0,16	4,26	1,19	1,41	0,12	3,33	0,30	0,38	0,42	1,37	1,15	2,28	0,8	16,0
0,32	5,27	1,15	0,32	0,24	0,32	0,12	2,20	3,13	2,28	4,16	0,42	0,12	4,32	0,30	0,38	4,38	0,38	0,16	10,20	0,8	0,16
0,32	1,31	0,16	17,15	0,24	0,32	0,12	2,20	1,15	0,30	0,20	4,38	3,9	8,28	0,30	1,37	2,40	1,37	0,16	0,30	1,7	16,0
0,32	0,32	0,16	0,32	2,22	0,32	0,12	0,22	0,16	0,30	1,19	1,41	7,5	25,11	4,26	0,38	1,41	1,37	0,16	0,30	1,7	0,16
1,31	6,26	0,16	6,26	22,2	26,6	9,3	3,19	1,15	6,24	2,18	6,36	2,10	2,34	24,6	2,36	3,39	7,31	7,9	3,27	8,0	16,0
31,1	27,5	11,5	32,0	24,0	29,3	9,3	13,9	16,0	30,0	13,7	19,23	12,0	36,0	30,0	36,2	16,26	25,13	16,0	15,15	5,3	16,0
0,32	0,32	1,15	0,32	2,22	0,32	2,10	6,16	1,15	0,30	1,19	3,39	0,12	0,36	0,30	1,37	12,30	2,36	0,16	2,28	5,3	0,16
6,26	4,28	5,11	9,23	0,24	0,32	0,12	12,10	2,14	27,3	4,16	5,37	0,12	0,36	0,30	4,34	6,36	15,23	4,12	6,24	1,7	15,1
5,27	12,20	1,15	0,32	0,24	0,32	0,12	7,15	3,13	5,25	2,18	5,37	1,11	0,36	5,25	24,14	8,34	7,31	4,12	8,22	1,7	0,16
16,16	31,1	16,0	20,12	23,1	32,0	11,1	13,9	14,2	30,0	20,0	18,24	12,0	36,0	30,0	37,1	19,23	27,11	10,6	30,0	1,7	16,0
0,32	0,32	0,16	0,32	5,19	22,10	1,11	0,22	0,16	0,30	0,20	11,31	9,3	17,19	26,4	0,38	1,41	0,38	10,6	0,30	1,7	0,16
0,32	1,31	3,13	0,32	0,24	1,31	1,11	0,22	0,16	0,30	0,20	21,21	0,12	0,36	0,30	1,37	3,39	12,26	0,16	0,30	0,8	0,16
2,30	1,31	1,15	0,32	1,23	0,32	1,11	1,21	1,15	4,26	0,20	3,39	0,12	3,33	7,23	9,29	5,37	7,31	2,14	0,30	0,8	2,14
13,19	30,2	16,0	18,14	18,6	5,27	7,5	7,15	0,16	26,4	0,20	12,30	5,7	19,17	3,27	24,14	7,35	14,24	8,8	24,6	4,4	0,16
8,24	32,0	16,0	32,0	7,17	31,1	11,1	13,9	12,4	29,1	20,0	17,25	12,0	36,0	30,0	30,8	15,27	23,15	16,0	30,0	5,3	16,0
3,29	13,19	6,10	0,32	0,24	0,32	0,12	0,22	6,10	1,29	13,7	2,40	0,12	1,35	0,30	0,38	7,35	1,37	0,16	1,29	1,7	16,0
8,24	9,23	4,12	0,32	0,24	0,32	0,12	0,22	1,15	3,27	2,18	0,42	0,12	0,36	0,30	0,38	0,42	0,38	0,16	0,30	2,6	0,16
7,25	7,25	7,9	15,17	0,24	2,30	0,12	0,22	0,16	25,5	0,20	0,42	0,12	0,36	2,28	3,35	16,26	11,27	0,16	11,19	0,8	0,16
15,17	25,7	13,3	17,15	5,19	31,1	1,11	2,20	16,0	30,0	19,1	28,14	4,8	17,19	30,0	10,28	32,10	13,25	0,16	25,5	5,3	16,0
3,29	6,26	4,12	18,14	0,24	3,29	0,12	2,20	4,12	20,10	0,20	3,39	0,12	0,36	0,30	7,31	30,12	12,26	0,16	6,24	1,7	0,16
16,16	6,26	4,12	0,32	0,24	0,32	0,12	0,22	0,16	0,30	9,11	5,37	6,6	22,14	0,30	1,37	5,37	11,27	1,15	0,30	1,7	0,16
11,21	1,31	1,15	0,32	0,24	1,31	0,12	0,22	0,16	0,30	7,13	1,41	1,11	23,13	29,1	0,38	0,42	0,38	11,5	1,29	1,7	2,14
0,32	19,13	0,16	22,10	13,11	0,32	0,12	3,19	3,13	24,6	3,17	1,41	2,10	0,36	0,30	11,27	1,41	6,32	1,15	16,14	0,8	16,0
7,25	0,32	0,16	0,32	0,24	23,9	0,12	0,22	0,16	1,29	0,20	5,37	0,12	0,36	0,30	0,38	0,42	0,38	0,16	0,30	0,8	0,16
24,8	14,18	16,0	9,23	10,14	32,0	9,3	8,14	13,3	5,25	15,5	17,25	11,1	9,27	3,27	24,14	21,21	18,20	4,12	16,14	3,5	0,16
25,7	24,8	9,7	28,4	22,2	6,26	9,3	11,11	4,12	29,1	6,14	15,27	11,1	36,0	30,0	30,8	8,34	34,4	10,6	28,2	3,5	0,16
0,32	14,18	8,8	0,32	13,11	3,29	1,11	5,17	0,16	0,30	0,20	0,42	3,9	0,36	0,30	0,38	0,42	4,34	0,16	0,30	1,7	0,16
4,28	9,23	9,7	27,5	0,24	4,28	0,12	7,15	0,16	27,3	0,20	16,26	2,10	1,35	0,30	2,36	12,30	5,33	13,3	10,20	0,8	0,16
25,7	31,1	16,0	29,3	4,20	27,5	8,4	14,8	12,4	30,0	20,0	16,26	9,3	36,0	30,0	34,4	8,34	35,3	16,0	19,11	4,4	16,0
20,12	16,16	2,14	0,32	4,20	1,31	3,9	7,15	1,15	0,30	4,16	11,31	2,10	2,34	0,30	26,12	23,19	12,26	12,4	5,25	5,3	0,16
0,32	0,32	0,16	0,32	21,3	1,31	5,7	1,21	10,6	10,20	7,13	1,41	11,1	36,0	0,30	4,34	2,40	11,27	6,10	12,18	2,6	0,16
32,0	22,10	16,0	32,0	17,7	28,4	4,8	11,11	15,1	30,0	7,13	29,13	10,2	36,0	0,30	35,3	38,4	24,14	16,0	26,4	4,4	0,16
6,26	6,26	1,15	0,32	4,20	0,32	6,6	11,11	0,16	0,30	0,20	5,37	5,7	10,26	30,0	4,34	4,38	0,38	0,16	1,29	0,8	16,0
27,5	26,6	13,3	32,0	22,2	29,3	12,0	13,9	10,6	20,10	13,7	36,6	11,1	36,0	30,0	5,33	35,7	22,16	16,0	24,6	4,4	16,0
3,29	0,32	2,14	6,26	19,5	7,25	6,6	1,21	0,16	0,30	1,19	10,32	0,12	22,14	30,0	4,34	4,38	3,35	1,15	7,23	0,8	0,16
0,32	0,32	0,16	0,32	0,24	0,32	0,12	5,17	0,16	0,30	0,20	2,40	0,12	0,36	0,30	26,12	7,35	0,38	0,16	0,30	0,8	0,16
3,29	1,31	0,16	0,32	0,24	0,32	0,12	0,22	11,5	10,20	9,11	0,42	0,12	0,36	0,30	1,37	12,30	18,20	0,16	0,30	0,8	0,16
3,29	18,14	5,11	32,0	9,15	11,21	6,6	5,17	13,3	26,4	7,13	16,26	0,12	0,36	30,0	37,1	23,19	17,21	13,3	21,9	4,4	16,0
14,18	21,11	12,4	0,32	0,24	7,25	10,2	17,5	12,4	13,17	14,6	11,31	6,6	3,33	6,24	6,32	12,30	9,29	0,16	27,3	4,4	16,0
14,18	11,21	1,15	0,32	0,24	0,32	3,9	0,22	5,11	0,30	10,10	19,23	0,12	0,36	0,30	26,12	20,22	11,27	0,16	9,21	0,8	0,16
8,24	6,26	0,16	0,32	14,10	0,32	1,11	1,21	3,13	0,30	1,19	0,42	0,12	0,36	0,30	1,37	10,32	6,32	0,16	0,30	0,8	0,16
2,30	2,30	0,16	0,32	0,24	0,32	0,12	0,22	0,16	1,29	0,20	6,36	0,12	19,17	24,6	25,13	0,42	7,31	0,16	11,19	2,6	0,16
3,29	0,32	0,16	0,32	0,24	0,32	5,7	0,22	1,15	0,30	2,18	5,37	0,12	5,31	29,1	3,35	0,42	1,37	4,12	6,24	0,8	0,16
21,11	9,23	1,15	7,25	0,24	0,32	0,12	8,14	0,16	3,27	6,14	5,37	3,9	17,19	0,30	15,23	17,25	13,25	0,16	1,29	1,7	16,0
14,18	3,29	1,15	5,27	0,24	0,32	0,12	0,22	0,16	0,30	1,19	1,41	4,8	20,16	0,30	21,17	7,35	7,31	2,14	1,29	1,7	0,16
7,25	6,26	1,15	32,0	0,24	0,32	1,11	13,9	1,15	3,27	1,19	8,34	9,3	0,36	26,4	19,19	9,33	2,36	2,14	1,29	3,5	0,16
